CMDLINE /usr/bin/python editor.py
MEM 7.167969 1511243078.5974
MEM 64.511719 1511243078.7110
MEM 86.566406 1511243078.8407
MEM 102.031250 1511243078.9616
MEM 102.031250 1511243079.0824
MEM 102.031250 1511243079.1976
MEM 102.058594 1511243079.3190
MEM 102.058594 1511243079.4375
MEM 102.058594 1511243079.5578
MEM 102.058594 1511243079.6783
MEM 102.058594 1511243079.7991
MEM 102.058594 1511243079.9161
MEM 102.058594 1511243080.0380
MEM 102.058594 1511243080.1587
MEM 102.058594 1511243080.2801
MEM 102.058594 1511243080.3985
MEM 102.058594 1511243080.5197
MEM 102.058594 1511243080.6408
MEM 102.058594 1511243080.7589
MEM 102.058594 1511243080.8793
MEM 102.058594 1511243080.9988
MEM 102.058594 1511243081.1222
MEM 102.058594 1511243081.2428
MEM 102.058594 1511243081.3642
MEM 102.058594 1511243081.4846
MEM 102.058594 1511243081.5964
MEM 102.058594 1511243081.7178
MEM 102.058594 1511243081.8398
MEM 102.058594 1511243081.9620
MEM 102.058594 1511243082.0776
MEM 102.058594 1511243082.1952
MEM 102.058594 1511243082.3182
MEM 102.058594 1511243082.4391
MEM 102.058594 1511243082.5581
MEM 102.058594 1511243082.6756
MEM 102.058594 1511243082.7960
MEM 102.058594 1511243082.9149
MEM 102.058594 1511243083.0335
MEM 102.058594 1511243083.1542
MEM 102.058594 1511243083.2741
MEM 102.058594 1511243083.3940
MEM 102.058594 1511243083.5133
MEM 102.058594 1511243083.6349
MEM 102.058594 1511243083.7521
MEM 102.058594 1511243083.8696
MEM 102.058594 1511243083.9878
MEM 102.058594 1511243084.1103
MEM 102.058594 1511243084.2299
MEM 102.058594 1511243084.3499
MEM 102.058594 1511243084.4654
MEM 102.058594 1511243084.5818
MEM 102.058594 1511243084.7018
MEM 102.058594 1511243084.8223
MEM 102.058594 1511243084.9523
MEM 102.058594 1511243085.0724
MEM 102.058594 1511243085.1936
MEM 102.058594 1511243085.3116
MEM 102.058594 1511243085.4303
MEM 102.058594 1511243085.5532
MEM 102.058594 1511243085.6729
MEM 102.058594 1511243085.7892
MEM 102.058594 1511243085.9072
MEM 102.058594 1511243086.0262
MEM 102.058594 1511243086.1445
MEM 102.058594 1511243086.2650
MEM 102.058594 1511243086.3873
MEM 102.058594 1511243086.5076
MEM 102.058594 1511243086.6291
MEM 102.058594 1511243086.7497
MEM 102.058594 1511243086.8710
MEM 102.058594 1511243086.9935
MEM 102.058594 1511243087.1149
MEM 102.058594 1511243087.2370
MEM 102.058594 1511243087.3518
MEM 102.058594 1511243087.4711
MEM 102.058594 1511243087.5910
MEM 102.058594 1511243087.7129
MEM 102.058594 1511243087.8293
MEM 102.058594 1511243087.9494
MEM 102.058594 1511243088.0702
MEM 102.058594 1511243088.1903
MEM 102.058594 1511243088.3110
MEM 102.058594 1511243088.4287
MEM 102.058594 1511243088.5480
MEM 102.058594 1511243088.6694
MEM 102.058594 1511243088.7892
MEM 102.058594 1511243088.9100
MEM 102.058594 1511243089.0283
MEM 102.058594 1511243089.1448
MEM 102.058594 1511243089.2638
MEM 102.058594 1511243089.3821
MEM 102.058594 1511243089.4976
MEM 102.058594 1511243089.6182
MEM 102.058594 1511243089.7357
MEM 102.058594 1511243089.8544
MEM 102.058594 1511243089.9716
MEM 102.058594 1511243090.0889
MEM 102.058594 1511243090.2055
MEM 102.058594 1511243090.3223
MEM 102.058594 1511243090.4422
MEM 102.058594 1511243090.5550
MEM 102.058594 1511243090.6775
MEM 102.058594 1511243090.7938
MEM 102.058594 1511243090.9117
MEM 102.058594 1511243091.0343
MEM 102.058594 1511243091.1532
MEM 102.058594 1511243091.2723
MEM 102.058594 1511243091.3840
MEM 102.058594 1511243091.5053
MEM 102.058594 1511243091.6233
MEM 102.058594 1511243091.7392
MEM 102.058594 1511243091.8618
MEM 102.058594 1511243091.9803
MEM 102.058594 1511243092.0927
MEM 102.058594 1511243092.2050
MEM 102.058594 1511243092.3246
MEM 102.058594 1511243092.4459
MEM 102.058594 1511243092.5656
MEM 102.058594 1511243092.6779
MEM 102.058594 1511243092.7958
MEM 102.058594 1511243092.9080
MEM 102.058594 1511243093.0290
MEM 102.058594 1511243093.1480
MEM 102.058594 1511243093.2595
MEM 102.058594 1511243093.3749
MEM 102.058594 1511243093.4944
MEM 102.058594 1511243093.6147
MEM 102.058594 1511243093.7281
MEM 102.058594 1511243093.8494
MEM 102.058594 1511243093.9693
MEM 102.058594 1511243094.0901
MEM 102.058594 1511243094.2109
MEM 102.066406 1511243094.3317
MEM 102.066406 1511243094.4554
MEM 102.066406 1511243094.5778
MEM 102.066406 1511243094.6991
MEM 102.066406 1511243094.8195
MEM 102.066406 1511243094.9417
MEM 102.066406 1511243095.0619
MEM 102.066406 1511243095.1734
MEM 102.066406 1511243095.2891
MEM 102.066406 1511243095.4078
MEM 102.066406 1511243095.5301
MEM 102.066406 1511243095.6517
MEM 102.398438 1511243095.7718
MEM 102.398438 1511243095.8941
MEM 102.398438 1511243096.0145
MEM 102.398438 1511243096.1345
MEM 102.398438 1511243096.2557
MEM 102.398438 1511243096.3731
MEM 102.398438 1511243096.4915
MEM 102.398438 1511243096.6144
MEM 102.398438 1511243096.7340
MEM 102.398438 1511243096.8548
MEM 102.398438 1511243096.9757
MEM 102.398438 1511243097.0984
MEM 102.398438 1511243097.2190
MEM 102.398438 1511243097.3407
MEM 102.398438 1511243097.4620
MEM 102.398438 1511243097.5831
MEM 102.398438 1511243097.7044
MEM 102.398438 1511243097.8226
MEM 102.398438 1511243097.9402
MEM 102.398438 1511243098.0614
MEM 102.398438 1511243098.1798
MEM 102.398438 1511243098.2969
MEM 102.398438 1511243098.4188
MEM 102.398438 1511243098.5403
MEM 102.398438 1511243098.6593
MEM 102.410156 1511243098.7795
MEM 102.410156 1511243098.8999
MEM 102.410156 1511243099.0212
MEM 102.410156 1511243099.1429
MEM 102.410156 1511243099.2635
MEM 102.410156 1511243099.3847
MEM 102.410156 1511243099.5040
MEM 102.410156 1511243099.6268
MEM 102.410156 1511243099.7478
MEM 102.410156 1511243099.8634
MEM 102.410156 1511243099.9897
MEM 102.410156 1511243100.1090
MEM 102.410156 1511243100.2244
MEM 102.410156 1511243100.3454
MEM 102.410156 1511243100.4666
MEM 102.410156 1511243100.5851
MEM 102.425781 1511243100.7013
MEM 102.425781 1511243100.8228
MEM 102.425781 1511243100.9454
MEM 102.425781 1511243101.0659
MEM 102.425781 1511243101.1868
MEM 102.425781 1511243101.3042
MEM 102.425781 1511243101.4265
MEM 102.425781 1511243101.5442
MEM 102.425781 1511243101.6559
MEM 102.425781 1511243101.7733
MEM 102.425781 1511243101.8949
MEM 102.425781 1511243102.0154
MEM 102.425781 1511243102.1355
MEM 102.425781 1511243102.2559
MEM 102.425781 1511243102.3767
MEM 102.425781 1511243102.4947
MEM 102.425781 1511243102.6115
MEM 102.425781 1511243102.7291
MEM 102.425781 1511243102.8510
MEM 102.425781 1511243102.9714
MEM 102.425781 1511243103.0937
MEM 102.425781 1511243103.2151
MEM 102.425781 1511243103.3381
MEM 102.425781 1511243103.4590
MEM 102.425781 1511243103.5791
MEM 102.425781 1511243103.7022
MEM 102.425781 1511243103.8224
MEM 102.425781 1511243103.9425
MEM 102.425781 1511243104.0620
MEM 102.425781 1511243104.1806
MEM 102.425781 1511243104.3017
MEM 102.425781 1511243104.4225
MEM 102.425781 1511243104.5413
MEM 102.425781 1511243104.6568
MEM 102.425781 1511243104.7774
MEM 102.425781 1511243104.8956
MEM 102.425781 1511243105.0167
MEM 102.425781 1511243105.1345
MEM 102.425781 1511243105.2547
MEM 102.425781 1511243105.3720
MEM 102.441406 1511243105.4835
MEM 102.441406 1511243105.6058
MEM 102.441406 1511243105.7268
MEM 102.441406 1511243105.8479
MEM 102.441406 1511243105.9706
MEM 102.441406 1511243106.0907
MEM 102.441406 1511243106.2116
MEM 102.441406 1511243106.3319
MEM 102.441406 1511243106.4518
MEM 102.441406 1511243106.5733
MEM 102.441406 1511243106.6907
MEM 102.441406 1511243106.8127
MEM 102.441406 1511243106.9319
MEM 102.441406 1511243107.0537
MEM 102.441406 1511243107.1754
MEM 102.441406 1511243107.2928
MEM 102.441406 1511243107.4115
MEM 102.441406 1511243107.5333
MEM 102.441406 1511243107.6490
MEM 102.441406 1511243107.7708
MEM 102.441406 1511243107.8909
MEM 102.441406 1511243108.0134
MEM 102.441406 1511243108.1345
MEM 102.441406 1511243108.2561
MEM 102.441406 1511243108.3734
MEM 102.441406 1511243108.4906
MEM 102.441406 1511243108.6155
MEM 102.441406 1511243108.7327
MEM 102.441406 1511243108.8533
MEM 102.441406 1511243108.9749
MEM 102.441406 1511243109.0955
MEM 102.441406 1511243109.2145
MEM 102.441406 1511243109.3324
MEM 102.441406 1511243109.4536
MEM 102.441406 1511243109.5714
MEM 102.441406 1511243109.6942
MEM 102.441406 1511243109.8155
MEM 102.441406 1511243109.9362
MEM 102.441406 1511243110.0581
MEM 102.441406 1511243110.1790
MEM 102.441406 1511243110.2983
MEM 102.441406 1511243110.4161
MEM 102.441406 1511243110.5319
MEM 102.441406 1511243110.6552
MEM 102.441406 1511243110.7776
MEM 102.441406 1511243110.8982
MEM 102.441406 1511243111.0168
MEM 102.441406 1511243111.1297
MEM 102.441406 1511243111.2501
MEM 102.441406 1511243111.3633
MEM 102.441406 1511243111.4839
MEM 102.441406 1511243111.6041
MEM 102.441406 1511243111.7235
MEM 102.441406 1511243111.8461
MEM 102.441406 1511243111.9644
MEM 102.441406 1511243112.0888
MEM 102.441406 1511243112.2108
MEM 102.441406 1511243112.3316
MEM 102.441406 1511243112.4487
MEM 102.441406 1511243112.5702
MEM 102.441406 1511243112.6854
MEM 102.441406 1511243112.8064
MEM 102.441406 1511243112.9232
MEM 102.441406 1511243113.0356
MEM 102.441406 1511243113.1546
MEM 102.441406 1511243113.2719
MEM 102.441406 1511243113.3924
MEM 102.441406 1511243113.5063
MEM 102.441406 1511243113.6240
MEM 102.441406 1511243113.7460
MEM 102.441406 1511243113.8671
MEM 102.441406 1511243113.9866
MEM 102.460938 1511243114.1071
MEM 102.460938 1511243114.2274
MEM 102.460938 1511243114.3445
MEM 102.460938 1511243114.4664
MEM 102.460938 1511243114.5871
MEM 102.460938 1511243114.7052
MEM 102.460938 1511243114.8245
MEM 102.460938 1511243114.9456
MEM 102.460938 1511243115.0663
MEM 102.460938 1511243115.1867
MEM 102.460938 1511243115.3074
MEM 102.460938 1511243115.4237
MEM 102.460938 1511243115.5430
MEM 102.460938 1511243115.6629
MEM 102.460938 1511243115.7832
MEM 102.460938 1511243115.9040
MEM 102.460938 1511243116.0244
MEM 102.460938 1511243116.1414
MEM 102.460938 1511243116.2614
MEM 102.460938 1511243116.3826
MEM 102.460938 1511243116.5029
MEM 102.460938 1511243116.6200
MEM 102.460938 1511243116.7417
MEM 102.460938 1511243116.8630
MEM 102.460938 1511243116.9835
MEM 102.460938 1511243117.0998
MEM 102.460938 1511243117.2220
MEM 102.460938 1511243117.3391
MEM 102.460938 1511243117.4585
MEM 102.460938 1511243117.5785
MEM 102.460938 1511243117.6981
MEM 102.460938 1511243117.8177
MEM 102.460938 1511243117.9385
MEM 102.460938 1511243118.0591
MEM 102.460938 1511243118.1779
MEM 102.460938 1511243118.2945
MEM 102.460938 1511243118.4161
MEM 102.460938 1511243118.5327
MEM 102.460938 1511243118.6499
MEM 102.460938 1511243118.7708
MEM 102.460938 1511243118.8907
MEM 102.460938 1511243119.0103
MEM 102.460938 1511243119.1309
MEM 102.460938 1511243119.2486
MEM 102.460938 1511243119.3666
